Review_Text,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm,Review_Text_Preprocessed
"Makanan nya enak Tempat nya nyaman,parkir lumayan luas.",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan nyaman parkir lumayan luas
"Makanannya enak2, tempatnya nyaman, recomended pokoknya",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan enak2 tempat nyaman recomended pokok
"Fasilitas,makanan oke... Karyawan ramah Isi ulasan dapat free gulali🥰 …",3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,fasilitas makan oke karyawan ramah isi ulas free gulali
"Masya Allah.. Tempatnya nyaman, Makanan nya jg enak..",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,masya allah tempat nyaman makan jg
"Makanan nya komplit dan enak, pelayanan bagus dan suasana yang menyenangkan",8 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan komplit layan bagus suasana senang
"Makanan enak, harga terjangkau.",4 hari lalu,5,Google Maps,Positive,Harga,No,F&B,No,makan harga jangkau
"Terima kasih, Ibu Septiani.",8 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,terima kasih septiani
"makanan nya enak"",cocok banget untuk yang bawa keluarga atau rombongan☺️☺️",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan cocok banget bawa keluarga rombong
Suasana perkampungan masih kental,6 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,suasana kampung kental
Ok,11 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,ok
"Tempatnya oke cukup nyaman, rasa steak nya juga lumayan kok. Recomended lahhh",7 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat oke nyaman steak lumayan recomended lahhh
Makanannya enak banget... pelayanannya juga bagus banget👌👌👌 …,10 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan banget layan bagus banget
"makanannya rasa hotel bintang 5,viewnya jg keren abiz cocok buat yg suka selfie2",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan hotel bintang viewnya jg keren abiz cocok suka selfie2
Makan disini dpt souvenir 🤩 Pelayanannya jg ramah dan cepat 👍 …,8 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,makan dpt souvenir layan jg ramah cepat
"Makannya enak, pelayanan nya juga mantep",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan mantep
Rasa makanan enak dan tempatnya juga nyaman serta pelayanan yang ramah,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan tempat nyaman layan ramah
"Makanan enak, tempatnya nyaman bersih, ok buat kumpul keluarga",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan tempat nyaman bersih ok kumpul keluarga
Makanan enak tempt ok pelayanan mas yusuf susanto good,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan tempt ok layan mas yusuf susanto good
tempat makannya nyaman rasanya oke banget,5 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan nyaman oke banget
"tempat makan nya nyaman, suasana nya enak, cocok bgt kalo buat kumpul² family☺️🤩 …",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan nyaman suasana cocok banget kalo kumpul family
Ada banyak pilihan jenis dagingnya. Puas banget. Worthed. Recomended,7 bulan lalu,5,Google Maps,Positive,Harga,No,F&B,No,pilih jenis daging puas banget worthed recomended
Makanan nya enak ikannya segar pelayanan nya cepat terimakasih pak M. Rohmatulloh,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan ikan segar layan cepat terimakasih rohmatulloh
"cuma kurang wifi dan air kecil, sisanya oke",2 tahun lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,wifi air sisa oke
3x KLUARGAKU BOKING ACRA DSINI👍 …,setahun lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,3x kluargaku boking acra dsini
"Tempat nya oke , makanan oke …pokok nya keren dech",11 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,oke makan oke pokok keren dech
"Cokelat, wow, yang terbaik 🩷 …",9 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,cokelat wow baik
mantappp nyaman bingit hihihi,9 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,mantappp nyaman bingit hihihi
"Makanannya enak, ambience nya oke, staff ramah dan helpful, very recommended👍 …",1 hari lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan ambience oke staff ramah helpful very recommended
"Makanan enak worth it , pelayanan ramah",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan worth it layan ramah
"Asri,Bersih,Nyaman dan Menunya Enak2",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,asri bersih nyaman menu enak2
Good excited enak makannanya enakk makasi kak sarah sudah melayanii perfect,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,good excited makannanya enakk makas kak sarah melayanii perfect
